,Bscat ,Time ,Denuder 
700,4.85E+01,0.46,With denuder
701,7.11E+00,0.46,With denuder
702,2.11E+00,0.46,With denuder
703,1.96E+01,0.46,With denuder
704,3.47E+01,0.46,With denuder
705,1.59E+01,0.46,With denuder
706,6.12E+00,0.46,With denuder
707,1.53E+01,0.46,With denuder
708,3.14E+01,0.46,With denuder
709,4.05E+01,0.46,With denuder
710,9.56E+00,0.46,With denuder
711,4.02E+00,0.46,With denuder
712,2.13E+01,0.46,With denuder
713,2.91E+01,0.46,With denuder
714,6.59E+01,0.46,With denuder
715,1.55E+00,0.46,With denuder
716,4.52E+01,0.46,With denuder
717,1.07E+02,0.46,With denuder
718,1.14E+01,0.46,With denuder
719,1.47E+01,0.46,With denuder
720,7.99E+00,0.46,With denuder
721,6.60E+00,0.46,With denuder
722,2.56E+01,0.46,With denuder
723,5.07E+00,0.46,With denuder
724,2.60E+01,0.46,With denuder
725,1.89E+01,0.46,With denuder
726,1.29E+01,0.46,With denuder
727,4.59E+01,0.46,With denuder
728,3.94E+01,0.46,With denuder
729,1.12E+01,0.46,With denuder
730,1.30E+00,0.46,With denuder
731,1.24E+01,0.46,With denuder
732,3.82E+01,0.46,With denuder
733,2.72E+01,0.46,With denuder
734,1.82E+01,0.46,With denuder
735,3.05E+01,0.46,With denuder
736,3.81E+01,0.46,With denuder
737,2.76E+01,0.46,With denuder
738,1.27E+01,0.46,With denuder
739,7.92E+01,0.46,With denuder
740,1.74E+01,0.46,With denuder
741,1.34E+01,0.46,With denuder
742,1.84E+01,0.46,With denuder
743,2.39E+01,0.46,With denuder
744,6.88E+00,0.46,With denuder
745,1.83E+01,0.46,With denuder
746,7.81E+00,0.46,With denuder
747,1.03E+01,0.46,With denuder
748,1.13E+01,0.46,With denuder
749,9.15E+00,0.46,With denuder
750,3.86E+01,0.46,With denuder
751,3.42E+01,0.46,With denuder
752,1.01E+01,0.46,With denuder
753,1.73E+01,0.46,With denuder
754,5.73E+00,0.46,With denuder
755,4.87E+01,0.46,With denuder
756,6.91E+00,0.46,With denuder
757,3.48E+00,0.46,With denuder
758,-2.16E-01,0.46,With denuder
759,2.48E+00,0.46,With denuder
760,5.82E+00,0.46,With denuder
761,9.28E+00,0.46,With denuder
762,6.56E+00,0.46,With denuder
763,1.44E+01,0.46,With denuder
764,1.58E+01,0.46,With denuder
765,2.12E+01,0.46,With denuder
766,1.05E+01,0.46,With denuder
767,2.71E+01,0.46,With denuder
768,6.05E+00,0.46,With denuder
769,8.44E+01,0.46,With denuder
770,4.41E+01,0.46,With denuder
771,1.14E+01,0.46,With denuder
