11:00:00 AM,11:35:00 AM,12:16:00 PM,12:51:00 PM,1:26:00 AM,2:00:00 AM
35.13,7.804688,2.48,2.30E+01,-6.34E+00,1.42E+00
6.30,13.33746,7.89,7.73E+00,-5.64E+00,-6.37E-01
4.76,51.30035,8.74,1.12E+01,3.49E+00,-5.09E-01
13.03,18.23773,9.20,1.55E+01,-3.57E+00,2.00E+01
12.86,14.30249,4.97,8.01E+01,4.02E+00,7.34E+00
9.06,6.480774,2.10,3.79E+01,1.78E+00,1.07E+01
8.07,15.85651,3.10,8.16E+00,-7.23E+00,2.47E+00
11.78,18.28546,0.13,9.92E+00,9.24E+00,1.84E+00
2.06,5.984924,2.72,3.33E+01,1.94E+01,2.52E+00
21.71,21.27704,-0.46,1.67E+01,-2.96E+00,2.04E+00
4.97,27.9566,2.93,7.69E+00,1.38E+00,8.38E+00
16.44,9.637268,-0.88,3.44E+01,-4.46E+00,1.31E+01
33.93,10.15717,37.61,9.08E+00,-6.58E-01,3.21E+00
16.90,6.66449,11.06,8.51E+00,1.78E+00,2.35E+00
33.64,68.55151,8.82,6.50E+00,-6.90E-01,4.36E+00
5.35,9.463074,3.34,1.75E+01,2.96E+01,5.94E+00
3.64,57.12933,3.34,3.13E+01,-1.49E-01,4.70E-01
0.08,11.64868,5.81,1.52E+01,1.07E+00,4.00E+00
20.47,21.13611,6.04,6.78E+00,2.88E+00,3.18E+00
9.20,18.02325,43.68,6.72E+00,1.18E+01,-5.70E-02
15.21,84.51239,12.38,4.11E+01,-2.35E+00,4.02E+00
14.93,21.85626,3.84,1.05E+01,-3.97E-01,3.72E+01
28.30,31.20801,36.13,4.08E+01,7.52E+00,1.72E+00
4.06,4.917114,7.58,8.86E+00,2.81E+01,4.11E+01
20.68,20.38855,3.36,4.16E+00,5.45E+00,2.18E+00
6.26,18.58228,11.27,3.26E+01,1.20E+01,9.49E+00
40.18,30.72754,6.14,2.67E+01,-3.74E+00,2.68E-01
3.48,12.8421,6.58,3.03E+01,1.47E+01,2.18E+00
6.31,9.756714,2.21,3.68E+01,-6.65E+00,3.21E+01
3.34,17.98138,1.99,7.90E+00,-3.14E-01,3.19E+01
7.23,40.31268,11.04,1.48E+01,7.10E+01,1.18E+01
10.12,67.25299,31.09,1.89E+01,1.02E+01,4.94E+00
6.07,21.69769,4.07,1.89E+01,6.31E+00,2.51E+00
7.88,3.280334,8.90,1.24E+01,1.09E+01,-2.04E+00
31.60,8.046875,23.87,5.75E+00,4.22E+00,-6.06E-01
27.68,13.28815,-1.97,2.27E+01,3.77E+00,9.86E+00
37.74,9.324463,12.74,1.73E+01,6.59E+00,3.06E+00
26.69,44.72601,6.45,8.60E+00,4.53E+00,1.37E+01
16.68,14.27362,4.05,1.14E+01,-8.62E-01,2.91E+00
1.88,19.59644,4.92,7.82E+00,4.98E+00,4.14E+00
5.13,9.935547,19.22,4.42E+00,2.25E+01,3.56E-01
22.59,40.47681,12.29,9.75E+00,4.63E+00,3.60E+00
5.68,42.93524,2.45,9.84E+00,2.18E+00,5.77E+00
11.14,12.15222,49.77,8.83E+00,1.15E+01,5.82E+00
6.69,12.97943,2.59,1.25E+01,2.20E+00,5.05E+00
19.72,8.616882,3.26,8.66E+00,3.51E+00,4.87E+01
4.59,9.717529,2.12,2.41E+01,6.21E+00,2.17E+00
17.19,7.58551,4.91,1.82E+01,6.01E+00,1.49E+00
34.76,8.621216,17.93,9.60E+00,1.14E+01,-3.19E-01
6.23,12.5553,10.09,4.94E+00,8.40E-01,7.43E+00
25.28,29.06635,1.50,1.51E+01,9.74E+00,1.67E+00
15.48,15.45282,9.82,6.15E+00,7.17E-02,4.43E+00
8.31,16.41449,4.47,2.92E+01,1.81E+01,2.37E+00
5.04,26.7699,10.00,3.15E+01,5.25E+00,9.02E+01
7.46,10.15387,4.74,6.64E+00,5.78E+01,4.75E+00
4.95,11.11212,1.68,9.79E+00,1.98E+01,1.48E+00
5.83,48.1153,5.67,1.67E+01,1.24E+01,4.79E+00
4.79,25.1051,36.91,1.76E+01,4.48E+01,3.71E+00
4.76,8.507385,8.00,1.06E+01,4.11E+00,1.01E+01
6.91,11.05206,1.45,6.09E+00,4.73E+00,1.50E+01
27.77,17.41559,23.89,9.06E+00,4.00E+00,1.97E+00
27.18,18.42346,2.83,8.84E+00,3.63E+00,2.71E+01
0.56,8.855103,3.22,7.11E+00,1.05E+01,3.45E+00
1.10,54.11694,12.92,8.49E+00,1.91E+01,5.10E+00
37.07,23.82391,70.39,1.49E+01,8.71E+00,6.36E+00
11.94,47.51526,10.56,1.13E+01,1.90E+01,1.35E+00
4.16,28.2243,6.67,1.16E+01,3.57E+00,1.59E+00
-0.55,14.8562,25.05,1.39E+01,2.19E+01,8.58E+00
2.70,21.20148,17.10,2.00E+01,5.29E+00,1.81E+00
76.61,30.89703,2.53,6.50E+01,1.21E+00,1.10E+01
15.24,7.716614,2.33,7.09E+00,7.85E+00,1.43E+00
40.71,8.741028,2.41,2.40E+01,2.17E+01,3.31E+01
12.33,12.88708,2.04,1.47E+01,1.58E+01,1.53E+01
5.86,7.184448,5.15,7.54E+00,3.67E+00,4.62E+00
17.72,26.58813,21.74,1.36E+01,2.04E+01,1.97E+00
175.92,31.10614,1.75,1.73E+01,4.24E+01,6.49E+00
69.33,51.12292,5.91,8.21E+00,1.43E+01,5.46E+00
20.70,17.66125,3.91,2.25E+01,6.26E+00,9.06E+00
