,Bext,Time,Denuder
702,-7.67,11:00,Yes
703,-13.1,11:00,Yes
704,4.7,11:00,Yes
705,-20.48,11:00,Yes
706,-4.38,11:00,Yes
707,47.21,11:00,Yes
708,9.34,11:00,Yes
709,-1.51,11:00,Yes
710,-7.74,11:00,Yes
711,20.87,11:00,Yes
712,2.88,11:00,Yes
713,26.48,11:00,Yes
714,-14.06,11:00,Yes
715,24.4,11:00,Yes
716,7.67,11:00,Yes
717,-4.87,11:00,Yes
718,18.66,11:00,Yes
719,0.55,11:00,Yes
720,6.65,11:00,Yes
721,-14.67,11:00,Yes
722,18.93,11:00,Yes
723,54.8,11:00,Yes
724,37.94,11:00,Yes
725,15.16,11:00,Yes
726,-1.55,11:00,Yes
727,5.72,11:00,Yes
728,8.51,11:00,Yes
729,11.22,11:00,Yes
730,-0.57,11:00,Yes
731,-7.43,11:00,Yes
732,-2.78,11:00,Yes
733,-5,11:00,Yes
734,172.13,11:00,Yes
735,0.17,11:00,Yes
736,-13.51,11:00,Yes
737,0.32,11:00,Yes
738,-5.18,11:00,Yes
739,20.32,11:00,Yes
740,2.78,11:00,Yes
741,22.79,11:00,Yes
742,5.27,11:00,Yes
743,8.82,11:00,Yes
744,-1.12,11:00,Yes
745,-1.61,11:00,Yes
746,0.79,11:00,Yes
747,11,11:00,Yes
748,37.43,11:00,Yes
749,4.85,11:00,Yes
750,0.95,11:00,Yes
751,37.6,11:00,Yes
752,15.36,11:00,Yes
753,10.1,11:00,Yes
754,21.12,11:00,Yes
755,26.7,11:00,Yes
756,16.84,11:00,Yes
757,-1.09,11:00,Yes
758,11.46,11:00,Yes
759,-5.25,11:00,Yes
760,4.43,11:00,Yes
761,27.08,11:00,Yes
762,44.6,11:00,Yes
763,4.66,11:00,Yes
764,0.35,11:00,Yes
765,3.44,11:00,Yes
766,6,11:00,Yes
767,92.79,11:00,Yes
768,-3.22,11:00,Yes
769,6.18,11:00,Yes
770,0.72,11:00,Yes
771,8.69,11:00,Yes
772,-2.2,11:00,Yes
773,-7.66,11:00,Yes
774,-9.54,11:00,Yes
775,-2.77,11:00,Yes
776,8.67,11:00,Yes
777,13.25,11:00,Yes
778,1.78,11:00,Yes
779,18.57,11:00,Yes
780,-1.32,11:00,Yes
781,-3.11,11:00,Yes
782,4.13,11:00,Yes
783,2.18,11:00,Yes
784,-2.66,11:00,Yes
785,-0.48,11:00,Yes
786,-8.33,11:00,Yes
787,18.39,11:00,Yes
788,18.53,11:00,Yes
789,18.41,11:00,Yes
790,4.15,11:00,Yes
791,8.65,11:00,Yes
792,-3.38,11:00,Yes
793,1.8,11:00,Yes
794,9.93,11:00,Yes
795,-7.9,11:00,Yes
796,1.81,11:00,Yes
797,12.12,11:00,Yes
798,7.25,11:00,Yes
799,3.91,11:00,Yes
800,2.43,11:00,Yes
801,14.32,11:00,Yes
802,25.47,11:00,Yes
803,0.17,11:00,Yes
804,-5.62,11:00,Yes
805,59.52,11:00,Yes
806,16.74,11:00,Yes
807,2.89,11:00,Yes
808,1.8,11:00,Yes
809,-11.76,11:00,Yes
810,26.07,11:00,Yes
811,26.84,11:00,Yes
812,3.42,11:00,Yes
813,1.38,11:00,Yes
814,18.81,11:00,Yes
815,3.73,11:00,Yes
816,61.55,11:00,Yes
817,42.05,11:00,Yes
818,2.68,11:00,Yes
819,30.8,11:00,Yes
820,4.32,11:00,Yes
821,-3.48,11:00,Yes
822,13.42,11:00,Yes
823,-6.39,11:00,Yes
824,6.79,11:00,Yes
825,4.1,11:00,Yes
826,16.2,11:00,Yes
827,10.9,11:00,Yes
828,-2.27,11:00,Yes
829,3.7,11:00,Yes
830,-13.9,11:00,Yes
831,7.98,11:00,Yes
832,3.22,11:00,Yes
833,8.06,11:00,Yes
834,7.88,11:00,Yes
835,21.15,11:00,Yes
836,14.81,11:00,Yes
837,18.12,11:00,Yes
838,6,11:00,Yes
839,15.36,11:00,Yes
840,3.39,11:00,Yes
841,30.56,11:00,Yes
842,9.79,11:00,Yes
843,17.28,11:00,Yes
844,14.26,11:00,Yes
845,12.9,11:00,Yes
846,1.67,11:00,Yes
847,7.93,11:00,Yes
848,-4.02,11:00,Yes
849,22.87,11:00,Yes
850,21.5,11:00,Yes
851,19.84,11:00,Yes
852,52.27,11:00,Yes
853,31.72,11:00,Yes
854,10.86,11:00,Yes
855,10.59,11:00,Yes
856,0.35,11:00,Yes
857,7.1,11:00,Yes
858,1.24,11:00,Yes
859,-4.31,11:00,Yes
860,3.45,11:00,Yes
861,3.95,11:00,Yes
862,13.32,11:00,Yes
863,2.52,11:00,Yes
864,9.61,11:00,Yes
865,53.94,11:00,Yes
866,30.9,11:00,Yes
867,10.34,11:00,Yes
868,0.29,11:00,Yes
869,14.25,11:00,Yes
870,13.93,11:00,Yes
871,20.34,11:00,Yes
872,8.3,11:00,Yes
873,18.21,11:00,Yes
874,1.92,11:00,Yes
875,8.62,11:00,Yes
876,8.36,11:00,Yes
877,3.4,11:00,Yes
878,10.63,11:00,Yes
879,9.47,11:00,Yes
880,14.71,11:00,Yes
881,10.2,11:00,Yes
882,26.76,11:00,Yes
883,12.55,11:00,Yes
884,18.29,11:00,Yes
885,20.98,11:00,Yes
886,3.06,11:00,Yes
887,3.5,11:00,Yes
888,27.67,11:00,Yes
889,18.14,11:00,Yes
890,57.46,11:00,Yes
891,18.86,11:00,Yes
892,12.26,11:00,Yes
893,6.85,11:00,Yes
894,15.81,11:00,Yes
895,37.19,11:00,Yes
896,1.37,11:00,Yes
897,29.94,11:00,Yes
898,7.17,11:00,Yes
899,-6.03,11:00,Yes
900,16.52,11:00,Yes
901,11.03,11:00,Yes
902,34.73,11:00,Yes
903,19.08,11:00,Yes
904,6.44,11:00,Yes
905,21.35,11:00,Yes
906,19.48,11:00,Yes
907,27.51,11:00,Yes
908,6.66,11:00,Yes
909,2.28,11:00,Yes
910,55.95,11:00,Yes
911,27.11,11:00,Yes
912,10.65,11:00,Yes
913,5.38,11:00,Yes
914,11.66,11:00,Yes
915,51.14,11:00,Yes
916,32.82,11:00,Yes
917,8.31,11:00,Yes
918,24.22,11:00,Yes
919,28.82,11:00,Yes
920,21.86,11:00,Yes
921,10.85,11:00,Yes
922,13.69,11:00,Yes
923,12.53,11:00,Yes
924,17.37,11:00,Yes
925,-10.44,11:00,Yes
926,35.63,11:00,Yes
927,5.73,11:00,Yes
928,7.74,11:00,Yes
929,22.31,11:00,Yes
930,1.5,11:00,Yes
931,-5.44,11:00,Yes
932,6.51,11:00,Yes
933,-2.48,11:00,Yes
934,1.86,11:00,Yes
935,-5.51,11:00,Yes
936,-13.89,11:00,Yes
937,-5.25,11:00,Yes
938,2.96,11:00,Yes
939,3.33,11:00,Yes
940,28.89,11:00,Yes
941,0.16,11:00,Yes
942,58.37,11:00,Yes
943,-5.07,11:00,Yes
944,8.81,11:00,Yes
945,0.47,11:00,Yes
946,-6.46,11:00,Yes
947,-7.4,11:00,Yes
948,-7.87,11:00,Yes
949,-7.45,11:00,Yes
950,8.69,11:00,Yes
951,-3.44,11:00,Yes
952,27.32,11:00,Yes
953,1.72,11:00,Yes
954,26.75,11:00,Yes
955,4.74,11:00,Yes
956,-8.13,11:00,Yes
957,5.08,11:00,Yes
958,16.74,11:00,Yes
959,0.51,11:00,Yes
960,9.71,11:00,Yes
961,55.64,11:00,Yes
962,6.63,11:00,Yes
963,20.25,11:00,Yes
964,-1.83,11:00,Yes
965,14.28,11:00,Yes
966,6.62,11:00,Yes
967,1.39,11:00,Yes
968,1.82,11:00,Yes
969,5.21,11:00,Yes
970,-3.49,11:00,Yes
971,-4.02,11:00,Yes
972,3.33,11:00,Yes
973,-2.9,11:00,Yes
974,10.49,11:00,Yes
975,-2.76,11:00,Yes
976,13.18,11:00,Yes
977,-5.22,11:00,Yes
978,7.42,11:00,Yes
979,-3.93,11:00,Yes
980,10.77,11:00,Yes
981,5.32,11:00,Yes
